time_ms,fuel_pressure_psi,chamber_pressure_psi,oxygen_pressure_psi,ducer4_psi,ducer5_psi,ducer6_psi,ducer7_psi,ducer8_psi,thermistor1_C,thermistor2_C,thermistor3_C,thermistor4_C,thermistor5_C,thermistor6_C,loadcell_lbs
154,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0
156,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0
157,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0
158,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0
159,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0
161,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0
162,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0
163,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0
164,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0
165,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0
166,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0
168,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0
169,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0
170,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0
171,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
172,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
173,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
180,5,10,2,0,0,0,0,0,0,0,0,0,0,0,0
181,5,10,2,0,0,0,0,0,0,0,0,0,0,0,0
182,5,9,2,0,0,0,0,0,0,0,0,0,0,0,0
183,5,9,2,0,0,0,0,0,0,0,0,0,0,0,0
185,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0
187,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0
189,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
190,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
191,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
192,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
193,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0
194,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0
196,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0
198,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0
199,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0
200,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0
201,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
202,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
204,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
205,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
206,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
207,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
208,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
209,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
218,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0
219,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0
220,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0
221,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0
222,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
224,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0
226,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
228,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
230,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
231,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
232,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
234,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
236,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
238,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
239,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
240,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
241,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
242,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
243,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
244,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
245,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
247,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
248,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0
249,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0
257,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0
258,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
259,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
260,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
261,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
262,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
264,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
266,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
268,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
269,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0
270,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0
271,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
272,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
273,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
274,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0
275,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0
277,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0
278,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
279,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
280,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0
281,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
282,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
283,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
284,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
300,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
301,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
302,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0
304,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0
306,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0
307,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0
309,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0
311,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0
312,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
313,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
314,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0
316,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0
317,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0
318,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
319,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
320,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
321,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
322,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
323,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
324,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
325,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0
326,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0
327,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0
328,5,8,5,0,0,0,0,0,0,0,0,0,0,0,0
336,5,8,5,0,0,0,0,0,0,0,0,0,0,0,0
337,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0
338,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0
339,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
340,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0
341,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0
343,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0
345,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0
346,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0
347,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0
348,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0
349,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
351,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
353,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
354,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0
355,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0
356,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0
357,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0
358,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0
359,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0
360,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0
361,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0
362,5,8,5,0,0,0,0,0,0,0,0,0,0,0,0
363,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0
380,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
382,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
383,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
384,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
386,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
388,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
390,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
392,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
393,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
394,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
396,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
397,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
399,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
400,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
401,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0
402,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0
403,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0
404,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0
405,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0
406,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0
407,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0
