time_ms,fuel_pressure_psi,chamber_pressure_psi,oxygen_pressure_psi,ducer4_psi,ducer5_psi,ducer6_psi,ducer7_psi,ducer8_psi,thermistor1_C,thermistor2_C,thermistor3_C,thermistor4_C,thermistor5_C,thermistor6_C,loadcell_lbs
148,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0
149,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0
151,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0
153,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0
154,6,7,4,0,0,0,0,0,0,0,0,0,0,0,0
155,6,7,3,0,0,0,0,0,0,0,0,0,0,0,0
157,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0
158,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0
160,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0
161,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0
162,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0
163,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0
164,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0
165,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0
172,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0
173,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
174,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
175,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
176,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0
178,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0
180,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0
182,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0
183,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0
184,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0
185,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
188,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
189,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
190,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
191,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
192,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
193,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
194,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
196,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
197,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0
198,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0
199,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0
200,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0
201,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0
208,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
209,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
210,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
212,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
213,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
214,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
216,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
219,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
220,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
222,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
223,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
225,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
227,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
228,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0
229,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0
230,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0
231,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0
232,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0
234,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0
235,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
236,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0
237,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0
238,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
239,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
247,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0
248,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0
249,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0
250,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
251,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
253,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
255,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
256,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
257,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
258,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
259,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
261,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
262,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
263,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
265,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
266,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
267,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
268,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
270,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
271,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
272,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
273,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
274,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
275,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
284,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0
285,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
286,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
287,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
288,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0
290,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
292,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
293,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
294,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
295,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
296,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
