time(msec),fuel_pressure(psi),chamber_pressure(psi),oxygen_pressure(psi),loadcell(lbs)
1100717,0,0,0,0
1100733,0,0,0,0
1100750,0,0,0,0
1100767,0,0,0,0
1100783,0,0,0,0
1100800,0,0,0,0
1100817,0,0,0,0
1100833,0,0,0,0
1100850,0,0,0,0
1100867,0,0,0,0
1100883,0,0,0,0
1100900,0,0,0,0
1100917,0,0,0,0
1100933,0,0,0,0
1100950,2,0,0,0
1100967,0,0,0,0
1100983,0,0,0,0
1101000,0,0,0,0
1101017,0,0,0,0
1101033,0,0,0,0
1101050,0,0,0,0
1101067,2,0,0,0
1101083,0,0,0,0
1101100,0,0,0,0
1101117,0,0,0,0
1101133,0,0,0,0
1101152,0,0,0,0
1101167,0,0,0,0
1101183,2,0,0,0
1101200,0,0,0,0
1101217,0,0,0,0
1101233,0,0,0,0
1101250,0,0,0,0
1101267,0,0,0,0
1101283,0,0,0,0
1101300,0,0,0,0
1101317,0,0,0,0
1101333,0,0,0,0
1101352,0,0,0,0
1101367,0,0,0,0
1101383,0,0,0,0
1101400,0,0,0,0
1101417,0,0,0,0
1101433,0,0,0,0
1101450,0,0,0,0
1101467,0,0,0,0
1101483,2,0,0,0
1101500,0,0,0,0
1101517,0,0,0,0
1101533,0,0,0,0
1101552,0,0,0,0
1101567,0,0,0,0
1101583,0,0,0,0
1101600,0,0,0,0
1101617,0,0,0,0
1101633,0,0,0,0
1101654,0,0,0,0
1101667,4,0,0,0
1101683,0,0,0,0
1101700,0,0,0,0
1101717,0,0,0,0
1101733,0,0,0,0
1101750,0,0,0,0
1101767,0,0,0,0
1101783,0,0,0,0
1363944,0,0,0,0
1101817,0,0,0,0
1101833,2,0,0,0
1101850,0,0,0,0
1101867,0,0,0,0
1101883,0,0,0,0
1101900,32,0,0,0
2150493,42,0,0,0
1364077,71,0,0,0
2150526,91,0,0,0
17879183,97,0,0,0
14995615,95,0,0,0
17879216,91,0,0,0
19189955,109,0,0,0
17879255,103,0,0,0
18993384,99,0,0,0
18927859,99,0,0,0
18993411,91,0,0,0
18927900,107,0,0,0
17879333,101,0,0,0
18141493,101,0,0,0
18927944,81,0,0,0
19190103,97,0,0,0
18141543,97,0,0,0
18141568,101,0,0,0
18141579,87,0,0,0
17879451,93,0,0,0
18141616,107,0,0,0
18141627,93,0,0,0
18141643,89,0,0,0
17879520,103,0,0,0
18928109,99,0,0,0
18141693,101,0,0,0
19190286,99,0,0,0
17879583,109,0,0,0
17879599,85,0,0,0
19190352,89,0,0,0
17879633,95,0,0,0
18928231,99,0,0,0
18141810,93,0,0,0
18141827,101,0,0,0
18928283,103,0,0,0
18141860,91,0,0,0
18141879,83,0,0,0
18928335,99,0,0,0
17879776,95,0,0,0
17879783,83,0,0,0
18141943,99,0,0,0
17879816,105,0,0,0
17879833,97,0,0,0
17879849,93,0,0,0
19190586,93,0,0,0
19190603,101,0,0,0
18142047,79,0,0,0
18928496,99,0,0,0
17879933,85,0,0,0
17879949,99,0,0,0
17879966,93,0,0,0
