time(msec),fuel_pressure(psi),chamber_pressure(psi),oxygen_pressure(psi),loadcell(lbs)
50,0,0,0,0
100,0,0,0,0
150,0,0,0,0
200,0,0,0,0
250,0,4,0,0
300,0,0,0,0
350,0,4,0,0
400,0,2,0,0
450,0,2,0,0
500,0,2,0,0
550,0,0,0,0
600,0,0,0,0
650,0,0,0,0
700,0,0,0,0
750,0,0,0,0
800,0,0,0,0
850,0,0,0,0
900,0,0,0,0
950,0,0,0,0
2343150,0,0,0,0
2343200,0,0,0,0
2343250,0,0,6,0
2343300,0,0,0,0
2343350,0,0,0,0
2343400,0,0,0,0
2343450,0,2,0,0
2343500,0,0,0,0
2343550,0,0,0,0
2343600,0,0,0,0
2343650,0,4,0,0
2343700,0,8,0,0
2343750,0,0,0,0
2343800,0,4,0,0
2343850,0,0,0,0
2343900,0,0,0,0
2343950,0,0,0,0
2344000,0,0,0,0
2344050,0,0,0,0
2344100,0,0,4,0
2344150,0,0,0,0
2344200,0,0,0,0
2344250,0,0,0,0
2344300,0,0,0,0
2344350,0,0,2,0
2344400,0,0,0,0
2344450,0,0,0,0
2344500,0,0,0,0
2344550,0,0,0,0
2344600,0,0,0,0
2344650,0,0,2,0
2344700,0,0,0,0
2344750,0,0,0,0
2344800,0,0,0,0
2344850,0,0,0,0
2344900,0,0,0,0
2344950,0,0,2,0
2345000,0,0,0,0
2345050,0,0,0,0
2345100,0,0,0,0
2345150,0,0,0,0
2345200,0,0,2,0
2345250,0,0,0,0
2345300,0,0,0,0
2345350,0,0,0,0
2345400,0,0,0,0
2345450,0,0,0,0
2345500,0,0,0,0
2345550,0,4,0,0
2345600,0,145,0,0
2345650,167,14,0,0
2345700,81,0,40,0
2345750,71,0,42,0
2345800,0,0,65,0
2345850,0,0,153,0
2345900,26,0,125,0
2345950,0,159,12,0
2346000,0,0,107,0
2346050,113,0,0,0
2346100,0,0,165,0
2346150,0,171,0,0
2346200,0,0,169,0
2346250,0,129,93,0
2346300,165,81,0,0
2346350,157,4,0,0
2346400,181,0,0,0
2346450,0,0,117,0
2346500,159,0,0,0
2346550,0,123,16,0
2346600,93,119,0,0
2346650,107,123,0,0
2346700,139,0,0,0
2346750,99,0,0,0
2346800,79,0,0,0
2346850,0,0,175,0
2346900,0,0,50,0
2346950,155,0,0,0
2347001,0,147,52,0
2347050,34,0,32,0
2347100,0,54,139,0
2347150,16,0,0,0
2347200,75,0,0,0
2347250,0,151,83,0
2347300,0,103,73,0
2347350,169,87,0,0
2347400,65,155,0,0
2347450,147,97,0,0
2347500,173,0,0,0
2347550,0,0,139,0
2347600,105,0,0,0
2347650,141,83,0,0
2347700,75,0,0,0
2347750,167,0,0,0
2347800,0,0,0,0
2347850,137,0,0,0
2347900,0,0,71,0
2347950,161,0,0,0
2348000,0,0,16,0
2348050,0,87,135,0
2348100,0,101,81,0
2348150,0,117,85,0
2348200,0,127,97,0
2348250,0,89,129,0
2348300,0,46,157,0
2348350,173,46,0,0
2348400,167,10,0,0
2348450,89,0,0,0
2348500,0,0,143,0
2348550,139,117,0,0
2348600,0,0,0,0
2348650,0,0,0,0
2348700,0,0,2,0
2348750,0,0,0,0
2348800,10,0,0,0
2348850,16,0,12,0
2348900,0,2,0,0
2348950,0,0,0,0
2349000,0,0,0,0
2349050,0,0,0,0
2349100,4,0,12,0
2349150,0,0,0,0
2349200,4,0,0,0
2349250,0,8,0,0
2349300,0,8,0,0
2349350,0,0,0,0
2349400,0,12,0,0
2349450,0,12,0,0
2349500,0,12,0,0
2349550,2,0,0,0
2349600,0,0,0,0
2349650,12,0,4,0
2349700,0,8,0,0
2349750,0,2,0,0
2349800,6,0,2,0
2349850,4,0,0,0
2349900,0,0,0,0
2349950,0,0,4,0
2350000,0,0,0,0
2350050,0,0,0,0
2350100,0,0,0,0
2350150,10,0,0,0
2350200,10,0,12,0
2350250,0,0,0,0
2350300,0,4,0,0
2350350,10,0,0,0
2350400,0,6,0,0
2350450,8,0,2,0
2350500,4,0,4,0
2350550,2,0,0,0
2350600,0,0,0,0
2350650,4,0,0,0
2350700,0,2,0,0
2350750,0,10,0,0
2350800,0,0,0,0
2350850,10,0,0,0
2350900,0,0,0,0
2350950,0,0,0,0
2351000,0,8,0,0
2351050,12,0,14,0
2351100,10,0,2,0
2351150,0,12,0,0
2351200,8,0,0,0
2351250,4,0,0,0
2351300,0,10,0,0
2351350,0,4,0,0
2351400,0,0,0,0
2351450,0,14,0,0
2351500,0,8,0,0
2351550,0,0,0,0
2351600,0,0,0,0
2351650,6,0,0,0
2351700,0,0,0,0
2351750,0,6,0,0
2351800,0,0,0,0
2351850,10,0,4,0
2351900,0,4,0,0
2351950,0,0,0,0
2352000,0,0,2,0
2352050,6,0,0,0
2352100,0,0,2,0
2352150,10,0,10,0
2352200,0,0,0,0
2352250,0,0,0,0
2352300,0,0,0,0
2352350,0,0,0,0
2352400,8,0,4,0
2352450,0,0,6,0
2352500,0,4,0,0
2352550,2,0,0,0
2352600,0,0,0,0
2352650,0,4,0,0
2352700,0,2,0,0
2352750,4,0,0,0
2352800,8,0,0,0
2352850,0,0,0,0
2352900,0,0,0,0
2352950,0,2,0,0
2353000,0,8,0,0
2353050,0,2,0,0
2353100,8,0,0,0
2353150,0,6,0,0
2353200,0,16,0,0
2353250,8,0,6,0
2353300,0,4,0,0
2353350,0,0,0,0
2353400,6,0,0,0
2353450,0,2,0,0
2353500,0,0,4,0
2353550,10,0,16,0
2353600,0,0,0,0
2353650,8,0,0,0
2353700,0,6,0,0
2353750,0,0,0,0
2353800,0,0,0,0
2353850,0,4,0,0
2353900,0,4,2,0
2353950,2,0,2,0
2354000,0,2,0,0
2354050,0,0,2,0
2354100,0,0,0,0
2354150,0,0,0,0
2354200,0,0,0,0
2354250,0,2,0,0
2354300,0,0,0,0
2354350,0,6,0,0
2354400,0,0,10,0
2354450,0,8,0,0
2354500,0,0,2,0
2354550,2,0,0,0
2354600,8,0,2,0
2354650,6,0,2,0
2354700,0,0,0,0
2354750,0,0,0,0
2354801,0,0,2,0
2354850,0,0,6,0
2354900,0,0,0,0
2354950,6,0,6,0
2355000,0,0,0,0
2355050,10,0,0,0
2355100,0,0,0,0
2355150,4,0,4,0
2355200,0,4,0,0
2355250,0,6,0,0
2355300,0,0,0,0
2355350,0,4,0,0
2355400,0,2,0,0
2355450,6,0,0,0
2355500,0,6,0,0
2355550,0,0,0,0
2355600,8,0,0,0
2355650,0,2,0,0
2355700,0,0,4,0
2355750,0,0,2,0
2355800,10,0,0,0
2355850,0,0,0,0
2355900,0,0,2,0
2355950,2,0,0,0
2356000,0,0,0,0
2356050,2,0,0,0
2356100,0,0,0,0
2356150,4,0,0,0
2356200,8,0,0,0
2356250,0,2,0,0
2356301,0,0,0,0
2356350,0,6,10,0
2356400,0,0,0,0
2356450,12,0,0,0
2356500,0,0,0,0
2356550,0,0,0,0
2356600,2,0,6,0
2356650,0,0,2,0
2356700,0,4,0,0
2356750,0,12,0,0
2356800,4,0,0,0
2356850,0,12,2,0
2356900,0,12,0,0
2356950,0,10,0,0
2357000,0,16,0,0
2357050,0,6,0,0
2357100,2,0,0,0
2357150,0,2,0,0
2357200,0,2,0,0
2357250,6,0,0,0
2357300,0,0,0,0
2357350,0,0,0,0
2357400,0,0,0,0
2357450,0,0,0,0
2357500,0,0,0,0
2357550,2,0,0,0
2357600,0,0,0,0
2357650,0,2,0,0
2357700,4,0,0,0
2357750,0,0,12,0
2357800,0,0,0,0
2357850,0,10,0,0
2357900,0,0,0,0
2357950,12,0,0,0
2358000,0,0,0,0
2358050,0,0,0,0
2358100,0,0,0,0
2358150,0,0,0,0
2358200,2,0,0,0
2358250,0,6,0,0
2358300,0,0,10,0
2358350,4,0,0,0
2358400,0,4,0,0
2358450,4,0,0,0
2358501,0,0,0,0
2358550,0,10,0,0
2358600,0,0,0,0
2358650,0,6,0,0
2358700,0,0,0,0
2358750,0,6,0,0
2358800,0,0,0,0
2358850,0,0,2,0
