2720459,0,0,0,0
2720489,0,0,0,0
2720519,0,0,0,0
2720549,0,0,0,0
2720579,0,0,0,0
2720609,0,0,0,0
2720639,0,0,0,0
2720669,0,0,2,0
2720699,0,0,0,0
2720729,0,0,0,0
2720759,0,0,0,0
2720789,0,0,0,0
2720819,0,0,0,0
2720849,0,6,0,0
2720879,0,0,0,0
2720909,0,0,0,0
2720939,0,0,0,0
2720969,0,0,2,0
2720999,0,0,0,0
2721029,0,0,0,0
2721059,0,0,0,0
2721089,0,0,0,0
2721119,0,0,0,0
2721149,0,2,0,0
2721179,0,0,0,0
2721209,0,0,0,0
2721239,0,0,0,0
2721269,0,0,6,0
2721299,0,0,0,0
2721329,0,0,0,0
2721359,0,0,0,0
2721389,0,0,0,0
2721419,0,0,0,0
2721449,0,0,0,0
2721479,0,0,0,0
2721509,0,0,0,0
2721539,0,0,0,0
2721569,0,0,4,0
2721599,0,0,2,0
2721629,0,0,0,0
2721659,0,0,0,0
2721689,0,0,0,0
2721719,0,0,0,0
2721749,0,0,0,0
2721779,0,0,0,0
2721809,0,0,0,0
2721839,2,0,0,0
2721869,0,0,0,0
2721899,0,0,0,0
2721929,0,0,0,0
2721959,4,0,0,0
2721989,0,0,0,0
2722019,0,2,0,0
2722049,0,0,0,0
2722079,4,8,103,0
2722109,44,0,151,0
2722139,153,284,202,0
2722169,208,683,208,1
2722199,218,714,226,2
2722229,238,641,214,3
2722259,232,607,230,2
2722289,224,554,236,3
2722319,238,532,222,3
2722349,242,470,240,3
2722379,240,456,228,3
2722409,238,429,232,3
2722439,240,387,240,3
2722469,244,367,242,3
2722499,244,377,222,3
2722529,244,357,220,3
2722559,232,337,242,3
2722589,236,308,238,3
2722619,238,315,220,3
2722649,244,296,228,3
2722679,248,302,224,3
2722709,240,292,224,3
2722739,248,278,228,3
2722769,230,270,238,3
2722799,236,268,234,3
2722829,232,270,234,3
2722859,248,266,218,3
2722889,248,256,220,3
2722919,250,260,226,3
2722949,230,254,232,3
2722979,250,256,222,3
2723009,254,230,234,3
2723039,232,234,242,3
2723069,248,244,216,3
2723099,230,246,234,3
2723129,236,234,240,3
2723159,248,226,222,3
2723189,248,238,220,3
2723219,234,232,232,3
2723249,236,240,220,3
2723279,246,226,218,3
2723309,236,232,230,3
2723339,254,220,224,3
2723369,238,234,236,3
2723399,236,220,222,3
2723429,248,214,218,3
2723459,246,218,216,3
2723489,250,214,224,3
2723520,252,232,216,3
2723549,232,212,232,3
2723579,238,206,234,3
2723609,248,214,224,3
2723639,244,220,236,3
2723669,234,220,240,3
2723699,236,214,226,3
2723729,242,220,224,3
2723759,248,210,220,3
2723789,234,230,228,3
2723819,236,206,230,3
2723849,246,214,214,3
2723879,236,202,242,3
2723909,238,214,234,3
2723939,252,208,224,3
2723969,246,200,232,3
2723999,236,212,240,3
2724029,232,214,242,3
2724059,248,204,222,3
2724089,246,208,226,3
2724119,234,208,224,3
2724149,244,200,222,3
2724179,230,202,238,3
