time(msec),fuel_pressure(psi),chamber_pressure(psi),oxygen_pressure(psi),loadcell(lbs)
8700,0,2,0,0
8730,0,6,0,0
8760,0,0,0,0
8790,0,0,0,0
8820,0,0,0,0
8850,0,2,0,0
8880,0,0,0,0
8910,0,0,0,0
8940,0,0,0,0
8970,0,0,0,0
9000,0,0,8,0
9030,0,0,0,0
9060,0,0,0,0
9090,0,0,0,0
9120,0,0,0,0
9150,0,2,0,0
9180,0,0,0,0
9210,0,0,0,0
9240,0,0,0,0
9270,0,0,0,0
9300,0,0,0,0
9330,0,0,0,0
9360,0,0,0,0
9390,2,0,0,0
9420,0,0,0,0
9450,0,0,0,0
9480,0,0,0,0
9510,0,0,0,0
9540,0,0,0,0
9570,0,0,0,0
9600,0,0,2,0
9630,2,0,0,0
9660,0,0,0,0
9690,0,0,0,0
9720,0,0,0,0
9750,0,0,0,0
9780,4,0,0,0
9810,0,0,0,0
9840,0,4,0,0
9870,0,0,0,0
9900,0,0,6,0
9930,4,0,0,0
9960,0,2,0,0
9990,0,0,0,0
10020,0,0,0,0
10050,0,0,0,0
10080,0,0,0,0
10110,0,8,0,0
10140,0,0,0,0
10170,0,0,0,0
10200,0,0,8,0
10230,0,0,0,0
10260,0,2,0,0
10290,0,0,0,0
10320,0,0,0,0
10350,0,0,0,0
10380,0,2,0,0
10410,0,0,0,0
10440,0,0,0,0
10470,0,0,4,0
10500,0,0,0,0
10530,0,6,0,0
10560,0,0,0,0
10590,0,0,0,0
10620,0,0,0,0
10650,0,0,0,0
10680,0,0,0,0
10710,0,0,0,0
10740,0,0,0,0
10770,0,0,0,0
10800,0,2,4,0
10830,0,0,0,0
10860,0,0,0,0
10890,0,0,0,0
10920,0,0,0,0
10950,0,2,0,0
10980,0,0,0,0
11010,0,0,0,0
11040,0,0,0,0
11070,0,0,4,0
11100,0,0,0,0
11130,0,0,0,0
11160,0,0,0,0
11190,0,0,0,0
11220,0,0,0,0
11250,0,0,0,0
11280,0,0,0,0
11310,0,0,0,0
11340,0,0,0,0
11370,0,2,0,0
11400,0,0,0,0
11430,0,0,0,0
11460,2,0,0,0
11490,0,6,0,0
11520,0,0,0,0
11550,0,0,0,0
11580,0,0,0,0
11610,0,0,0,0
11640,0,0,0,0
11670,0,0,0,0
11700,0,0,0,0
11730,4,0,0,0
11760,0,2,0,0
11790,0,0,0,0
11820,0,0,0,0
11850,0,0,0,0
11880,0,0,0,0
11910,0,4,0,0
11940,0,0,0,0
11970,0,0,0,0
12000,0,0,0,0
12030,0,0,0,0
12060,0,0,0,0
12090,0,0,0,0
12120,0,0,0,0
12150,0,0,0,0
12180,0,6,0,0
12210,0,0,0,0
12240,0,0,4,0
12270,0,0,0,0
12300,0,0,0,0
12330,2,0,0,0
12360,0,0,0,0
12390,2,0,0,0
12420,0,0,0,0
12450,0,2,0,0
12480,0,0,0,0
12510,0,0,0,0
12540,0,0,0,0
12570,0,0,0,0
12600,0,4,0,0
12630,0,0,0,0
