time(msec),fuel_pressure(psi),chamber_pressure(psi),oxygen_pressure(psi),loadcell(lbs)
3900,46,0,0,0
3930,32,0,0,0
3960,30,0,0,0
3990,16,0,0,0
4020,30,0,0,0
4050,28,2,0,0
4080,16,0,0,0
4110,22,0,0,0
4140,14,0,0,0
4170,16,2,0,0
4200,14,0,0,0
4230,8,0,0,0
4260,6,0,0,0
4290,6,0,0,0
4320,2,8,0,0
4350,10,0,0,0
4380,4,0,0,0
4410,4,0,2,0
4440,2,0,0,0
4470,4,0,0,0
4500,2,0,0,0
4530,0,0,0,0
4560,0,0,0,0
4590,0,0,0,0
4620,0,0,0,0
4650,0,0,0,0
4680,0,0,0,0
4710,0,0,0,0
4740,0,6,2,0
4770,0,0,0,0
4800,4,0,0,0
4830,0,0,0,0
4860,0,0,0,0
4890,0,4,0,0
4920,0,2,0,0
4950,0,0,0,0
4980,0,0,0,0
5010,0,4,0,0
5040,0,0,0,0
5070,0,0,0,0
5100,0,0,0,0
5130,0,4,0,0
5160,0,2,0,0
5190,0,0,0,0
5220,0,0,0,0
5250,0,0,0,0
5280,0,0,0,0
5310,0,2,0,0
5340,2,0,0,0
5370,0,0,0,0
5400,0,0,0,0
5430,0,0,0,0
5460,0,4,0,0
5490,0,4,0,0
5520,0,0,0,0
5550,0,0,0,0
5580,0,6,0,0
5610,0,0,0,0
5640,0,0,0,0
5670,0,0,0,0
5700,0,0,0,0
5730,0,0,0,0
5760,0,0,0,0
5790,0,0,0,0
5820,0,0,0,0
5850,0,0,0,0
5880,0,2,0,0
5910,0,0,0,0
5940,0,0,0,0
5970,0,0,0,0
6000,0,0,2,0
6030,0,0,0,0
6061,0,0,0,0
6090,0,0,0,0
6120,0,0,0,0
6150,0,0,0,0
6180,0,0,0,0
6210,0,0,0,0
6240,0,0,0,0
6271,0,0,0,0
6300,0,0,0,0
6330,0,4,0,0
6360,0,0,0,0
6390,0,0,0,0
6420,0,0,0,0
6450,0,4,0,0
6480,0,0,0,0
6510,0,0,0,0
6540,0,0,0,0
6570,0,2,0,0
6600,4,0,0,0
6630,0,0,6,0
6660,0,0,0,0
6690,0,0,0,0
6720,0,0,0,0
6750,0,0,0,0
6780,0,0,0,0
6810,0,0,0,0
6840,0,0,0,0
6870,0,0,0,0
6900,0,0,0,0
6930,0,0,0,0
6960,0,0,0,0
6990,0,0,0,0
7020,0,4,0,0
7050,0,0,0,0
7080,0,0,0,0
7110,0,0,0,0
7140,0,0,0,0
7170,2,0,0,0
7200,0,0,0,0
7230,0,0,0,0
7260,0,0,4,0
7290,0,0,0,0
7320,0,0,0,0
7350,0,0,0,0
7380,0,0,0,0
7410,0,2,0,0
7440,0,4,0,0
7470,0,0,0,0
7500,0,0,0,0
7530,0,0,0,0
7560,0,0,0,0
7590,0,0,6,0
7620,0,0,0,0
7650,0,0,0,0
7680,0,0,0,0
7710,0,0,0,0
7740,0,4,0,0
7770,0,0,0,0
7800,0,0,0,0
7830,0,0,0,0
7860,0,2,0,0
7890,0,0,2,0
7920,0,0,0,0
7950,0,0,0,0
7980,0,0,0,0
8010,0,4,0,0
8040,0,0,0,0
8070,0,0,0,0
8100,0,0,0,0
8130,0,2,0,0
8160,0,2,0,0
8190,0,0,0,0
8220,0,0,2,0
8250,0,0,0,0
8280,0,0,0,0
8310,0,2,0,0
8340,0,0,0,0
8370,0,0,0,0
8400,0,0,0,0
8430,0,6,0,0
8460,0,0,0,0
8490,0,0,0,0
8520,0,0,4,0
8550,0,0,0,0
8580,0,4,0,0
8610,0,4,0,0
8640,0,0,0,0
8670,0,0,0,0
8700,0,0,0,0
8730,0,2,0,0
8760,0,0,0,0
8790,0,0,0,0
8820,0,0,0,0
8850,0,2,0,0
8880,0,0,0,0
8910,0,0,0,0
8940,0,0,0,0
8970,0,0,0,0
9000,0,0,0,0
9030,0,0,0,0
9060,0,0,0,0
9090,0,0,0,0
9120,0,0,0,0
9150,0,2,6,0
9180,0,0,0,0
9210,0,0,0,0
9240,0,2,0,0
9270,0,0,0,0
9300,0,0,0,0
9330,0,0,0,0
9360,0,0,0,0
9390,0,0,0,0
9420,0,0,0,0
9450,0,0,0,0
9480,0,0,2,0
9510,0,0,0,0
9540,0,0,0,0
9570,0,4,0,0
9600,0,0,0,0
9630,0,0,0,0
9660,0,0,0,0
9690,0,4,0,0
9720,0,0,0,0
9750,0,0,0,0
9780,0,0,2,0
9810,0,0,0,0
9840,0,0,0,0
9870,0,0,0,0
9900,0,0,0,0
9930,0,0,0,0
9960,0,0,0,0
9990,0,6,0,0
10020,0,0,0,0
10050,0,0,0,0
10080,0,0,0,0
10110,0,0,0,0
10140,0,4,0,0
10170,0,0,0,0
10200,0,2,0,0
10230,0,0,0,0
10260,0,4,0,0
10290,0,0,0,0
10320,0,0,0,0
10350,0,0,0,0
10380,0,0,0,0
10410,0,0,2,0
10440,0,0,0,0
10470,0,0,0,0
10500,0,0,0,0
10530,0,0,0,0
10560,0,0,0,0
10590,0,0,0,0
10620,0,0,0,0
10650,0,0,0,0
10680,0,0,0,0
10710,0,0,0,0
10740,0,0,0,0
10770,0,0,0,0
10800,2,0,0,0
10830,0,4,0,0
10860,0,0,0,0
10890,0,0,0,0
10920,0,0,0,0
10950,0,0,0,0
10980,0,0,0,0
11010,0,0,2,0
11040,0,0,2,0
11070,0,0,2,0
11100,0,0,0,0
11130,0,0,0,0
11160,0,0,0,0
11190,0,0,0,0
11220,0,0,0,0
11250,0,2,0,0
11280,0,0,0,0
11310,0,0,0,0
11340,0,0,2,0
11370,0,0,2,0
11400,0,4,0,0
11430,0,0,0,0
11460,0,0,0,0
11490,0,0,0,0
11520,0,0,0,0
11550,0,0,0,0
