time(msec),fuel_pressure(psi),chamber_pressure(psi),oxygen_pressure(psi),loadcell(lbs)
50,0,2,0,0
100,0,0,0,0
150,2,0,0,0
200,0,4,0,0
250,0,0,0,0
300,0,0,0,0
350,0,0,0,0
400,0,0,2,0
450,0,0,0,0
500,0,0,0,0
550,4,0,0,0
600,0,0,0,0
650,93,2,28,0
700,48,10,54,0
750,179,63,65,0
800,216,63,73,0
850,222,81,60,0
900,218,79,67,0
950,216,65,77,0
1000,216,75,81,0
1050,214,73,81,0
1100,226,63,73,0
1150,226,69,71,0
1200,228,67,77,0
1250,214,79,85,0
1300,214,67,79,0
1350,230,65,67,0
1400,224,56,75,0
1450,218,60,79,0
1500,210,58,73,0
1550,238,52,71,0
1600,230,54,65,0
1650,222,63,69,0
1700,214,63,73,0
1750,212,81,73,0
1800,214,75,71,0
1850,228,75,73,0
1900,218,75,77,0
1950,216,69,75,0
2000,218,71,60,0
2050,222,52,65,0
2100,218,56,75,0
2150,220,65,63,0
2200,228,81,54,0
2250,214,71,67,0
2300,206,77,63,0
2350,204,87,69,0
2400,216,65,71,0
2450,218,65,63,0
2500,224,67,54,0
2550,224,56,54,0
2600,222,65,48,0
2650,224,54,56,0
2700,220,67,60,0
2750,222,50,56,0
2800,208,50,56,0
2850,218,54,48,0
2900,222,50,50,0
2950,228,67,54,0
3000,222,56,60,0
3050,214,56,60,0
3100,224,44,56,0
3150,212,69,56,0
3200,212,56,63,0
